M̴lt;Globalstr̴ling;Relativ fugtighed;Temperatur;Vindretning;Vindhastighed
22-02-2022 10:30;302;66;5;238;3,4
22-02-2022 10:00;318;68;4,4;244;2,8
22-02-2022 09:30;206;68;3,8;244;2,7
22-02-2022 09:00;179;74;3,2;262;2,5
22-02-2022 08:30;117;77;2,8;278;2,3
22-02-2022 08:00;95;78;2,5;277;2
22-02-2022 07:30;28;78;2,5;285;1,6
22-02-2022 07:00;2;77;2,7;288;2,3
22-02-2022 06:30;0;77;2,8;296;2,7
22-02-2022 06:00;0;77;2,9;295;3
22-02-2022 05:30;0;79;2,8;289;2,9
22-02-2022 05:00;0;81;2,7;285;2,2
22-02-2022 04:30;0;82;2,6;291;1,9
22-02-2022 04:00;0;83;2,3;302;2,3
22-02-2022 03:30;0;83;2,2;316;3,1
22-02-2022 03:00;0;78;3,2;337;2,8
22-02-2022 02:30;0;67;4,6;304;6
22-02-2022 02:00;0;66;4,8;296;5,3
22-02-2022 01:30;0;66;4,9;296;5,4
22-02-2022 01:00;0;66;4,8;297;5,2
22-02-2022 00:30;0;67;5;294;5,5
22-02-2022 00:00;0;71;5,1;297;6
21-02-2022 23:30;0;75;5,8;290;4,8
21-02-2022 23:00;0;73;6,1;292;3,9
21-02-2022 22:30;0;73;6,1;294;3,8
21-02-2022 22:00;0;73;5,9;295;4,6
21-02-2022 21:30;0;74;5,9;294;4,5
21-02-2022 21:00;0;73;5,9;292;4,7
21-02-2022 20:30;0;72;5,9;290;4,8
21-02-2022 20:00;0;71;5,8;287;4,5
21-02-2022 19:30;0;71;5,7;284;4,2
21-02-2022 19:00;0;70;5,6;282;4
21-02-2022 18:30;0;68;5,6;282;4,3
21-02-2022 18:00;0;65;5,8;285;4,8
21-02-2022 17:30;1;63;6,2;280;5,7
21-02-2022 17:00;20;62;6,4;284;5,5
21-02-2022 16:30;76;62;6,8;278;4,9
21-02-2022 16:00;122;63;6,7;273;5
21-02-2022 15:30;186;61;6,9;269;5,1
